-algia	pain, suffering
dys-	bad, painful, difficult
-ectomy	surgical removal
Hyper-	excessive
Hypo-	deficient, decreased
-itis	inflammation
-osis	abnormal condition
-ostomy	surgically create an opening
-otomy	surgical incision
-plasty	surgical repair
-rrhage	bleeding, abnormal excessive fluid discharge
-rraphy	surgical suturing
-rrhea	flow, discharge
-rrhexis	rupture
-sclerosis	abnormal hardening
necrosis	tissue death
-malacia	abnormal softening
myel/o	spinal cord, bone marrow
oste/o	bone
neur/o	Nerve
Arthr/o	joint
cyan/o	blue
erythr/o	red
leuk/o	White
Melan/o	Black
poli/o	gray
tonsill/o	tonsils
crani/o	skull
arteri/o, arter/o	word root for artery
-megaly	enlargement
-dynia	pain
costal	ribs
sub	under, below
supra-	above, upper
abdominal cavity	contains primarily the major organs of digestion
-scropy	visual examination
my/o	muscle
-graphy	the process of producing a picture or record
hem/o	blood
ab	away from
dextr/o	right side
Ex-	out, away from
Endo-	within, inner
inter	between
intra	within
sinistr/o	left side
mega-, megalo-	large, great
olig/o	scanty, few
ad	toward
Eu-	good, normal
sign	objective evidence of disease such as a fever
Different diagnosis	The process of differentiating Between two or more conditions that similar signs or symptoms
eponym	a disease, structure, operation, or procedure named for the person who discovered or described it first
syndrome	a group of symptoms
acute	A condition with a rapid onset with a short course.
remission	the temporary, partial, or complete disappearance of the symptoms of a disease without having achieved a cure
prognosis	a prediction of the course of a disease
pyrosis	heartburn
fissure	an opening; a groove; a split
Fisula	abnormal passageway between two organs or between an internal organ and the body surface
ileum	the last and longest portion of the small intestine
ilium	part of the hip bone
Meningitis	inflammation and infection of the meninges
laceration	jagged wound
malaise	a feeling of depression, uneasiness, or queasiness
Exudate	fluid, such as pus, that leaks out of an infected wound
lesion	a pathologic change of the tissues due to disease or injury
mucous membrane	Membrane that secretes mucus that lubricates the surface of organs and keeps them moist.
myc/o	fungus
mycosis	any abnormal condition or disease caused by a fungus
neonatology	study of newborns and the treatment of their disorders
Palpation	to examine by touch
palpitation	pounding or racing heart
pyo	pus
pyoderma	skin disease containing pus
